거래일자,지역,연료원,발전량
2018-01-17,부산시,석탄,164.7936
2018-01-17,인천시,석탄,113704.2582
2018-01-17,전라남도,석탄,30727.07399
2018-01-17,전라북도,석탄,16332.49286
2018-01-17,충청남도,석탄,330502.1897
2018-01-17,경기도,유류,15600.88649
2018-01-17,경상남도,유류,316.030722
2018-01-17,대구시,유류,552.720112
2018-01-17,대전시,유류,527.528288
2018-01-17,울산시,유류,23885.85545
2018-01-17,전라북도,유류,402.283164
2018-01-17,제주도,유류,7095.705344
2018-01-17,충청남도,유류,0
2018-01-17,충청북도,유류,1151.643192
2018-01-17,강원도,LNG,14478.70326
2018-01-17,경기도,LNG,219757.8584
2018-01-17,경상북도,LNG,7857.83893
2018-01-17,광주시,LNG,2176.531588
2018-01-17,대구시,LNG,9022.85944
2018-01-17,부산시,LNG,32066.94461
2018-01-17,서울시,LNG,700.980767
2018-01-17,세종시,LNG,12147.82094
2018-01-17,울산시,LNG,33232.91292
2018-01-17,인천시,LNG,60360.89079
2018-01-17,전라남도,LNG,40624.35081
2018-01-17,전라북도,LNG,8891.71896
2018-01-17,충청남도,LNG,25377.31416
2018-01-17,대전시,LNG,1021.295604
2018-01-18,강원도,석탄,74173.12489
2018-01-18,경기도,석탄,1385.018292
2018-01-18,경상남도,석탄,164555.2069
2018-01-18,경상북도,석탄,2624.683432
2018-01-18,대구시,석탄,19.911696
2018-01-18,부산시,석탄,166.69584
2018-01-18,인천시,석탄,113108.8547
2018-01-18,전라남도,석탄,31017.39608
2018-01-18,전라북도,석탄,15713.84385
2018-01-18,충청남도,석탄,331207.0576
2018-01-18,경기도,유류,15815.51023
2018-01-18,경상남도,유류,300.108816
2018-01-18,대구시,유류,552.19668
2018-01-18,대전시,유류,518.56784
2018-01-18,울산시,유류,23196.45199
2018-01-18,전라북도,유류,400.447608
2018-01-18,제주도,유류,7226.197272
2018-01-18,충청남도,유류,0
2018-01-18,충청북도,유류,1171.937508
2018-01-18,강원도,LNG,14942.53334
2018-01-18,경기도,LNG,215364.9948
2018-01-18,경상북도,LNG,8176.471395
2018-01-18,광주시,LNG,1329.69725
2018-01-18,대구시,LNG,8927.0104
2018-01-18,부산시,LNG,29863.10521
2018-01-18,서울시,LNG,764.908165
2018-01-18,세종시,LNG,12268.72427
2018-01-18,울산시,LNG,35627.3054
2018-01-18,인천시,LNG,60131.97629
2018-01-18,전라남도,LNG,41020.32218
2018-01-18,전라북도,LNG,8762.09113
2018-01-18,충청남도,LNG,32139.88771
2018-01-18,대전시,LNG,195.73218
2018-01-19,강원도,석탄,72847.43556
2018-01-19,경기도,석탄,1378.4631
2018-01-19,경상남도,석탄,163567.1525
2018-01-19,경상북도,석탄,2665.461064
2018-01-19,대구시,석탄,13.924848
2018-01-19,부산시,석탄,155.82672
2018-01-19,인천시,석탄,113556.8604
2018-01-19,전라남도,석탄,30938.17194
2018-01-19,전라북도,석탄,17665.37815
2018-01-19,충청남도,석탄,332375.3331
2018-01-19,경기도,유류,9775.973446
2018-01-19,경상남도,유류,328.179012
2018-01-19,대구시,유류,551.656112
2018-01-19,대전시,유류,689.70104
2018-01-19,울산시,유류,23230.98147
2018-01-19,전라북도,유류,391.15806
2018-01-19,제주도,유류,8157.60288
2018-01-19,충청남도,유류,0
2018-01-19,충청북도,유류,1152.531156
2018-01-19,강원도,LNG,13866.14964
2018-01-19,경기도,LNG,217737.7665
2018-01-19,경상북도,LNG,8020.201453
2018-01-19,광주시,LNG,2340.444288
2018-01-19,대구시,LNG,8992.96608
2018-01-19,부산시,LNG,27681.82357
2018-01-19,서울시,LNG,957.938558
2018-01-19,세종시,LNG,12180.35101
2018-01-19,울산시,LNG,31590.47174
2018-01-19,인천시,LNG,61493.71038
2018-01-19,전라남도,LNG,41384.30635
2018-01-19,전라북도,LNG,7803.273743
2018-01-19,충청남도,LNG,29530.76412
2018-01-19,대전시,LNG,582.304128
2018-01-20,강원도,석탄,70326.28111
2018-01-20,경기도,석탄,1258.52118
2018-01-20,경상남도,석탄,161013.4104
2018-01-20,경상북도,석탄,2614.260264
2018-01-20,대구시,석탄,9.450168
2018-01-20,부산시,석탄,67.72176
2018-01-20,인천시,석탄,112779.4324
2018-01-20,전라남도,석탄,30729.43327
2018-01-20,전라북도,석탄,18358.68348
2018-01-20,충청남도,석탄,326278.0676
2018-01-20,경기도,유류,0
2018-01-20,경상남도,유류,340.337844
2018-01-20,대구시,유류,551.807648
2018-01-20,대전시,유류,633.146192
2018-01-20,울산시,유류,20167.91842
2018-01-20,전라북도,유류,403.686612
